algorithm,minrun,dataset_type,n,run_id,time_ms,comparisons,moves
MergeSort,NA,random,10000,0,4.134,120465,133616
TimSort,16,random,10000,0,63.4121,2964282,3165941
TimSort,32,random,10000,0,37.7038,1553549,1648570
TimSort,64,random,10000,0,19.6986,819389,950155
TimSort,128,random,10000,0,12.5794,447997,718269
MergeSort,NA,random,10000,1,4.3568,120517,133616
TimSort,16,random,10000,1,72.8741,2980826,3166204
TimSort,32,random,10000,1,44.174,1555837,1648925
TimSort,64,random,10000,1,22.5644,818400,950161
TimSort,128,random,10000,1,17.426,448046,721562
MergeSort,NA,random,10000,2,3.9481,120471,133616
TimSort,16,random,10000,2,74.3434,2969008,3166531
TimSort,32,random,10000,2,39.8772,1554272,1649485
TimSort,64,random,10000,2,20.8791,818351,952369
TimSort,128,random,10000,2,17.3755,448220,720949
MergeSort,NA,random,10000,3,5.6668,120439,133616
TimSort,16,random,10000,3,69.798,2971029,3165614
TimSort,32,random,10000,3,45.6195,1552067,1648299
TimSort,64,random,10000,3,30.7676,819531,950650
TimSort,128,random,10000,3,14.8368,447832,723359
MergeSort,NA,random,10000,4,3.748,120501,133616
TimSort,16,random,10000,4,67.8845,2957156,3166903
TimSort,32,random,10000,4,36.522,1551561,1650169
TimSort,64,random,10000,4,19.3518,817688,952069
TimSort,128,random,10000,4,14.8958,448076,724313
MergeSort,NA,random,50000,0,26.5407,718131,784464
TimSort,16,random,50000,0,1756.93,73407838,78330682
TimSort,32,random,50000,0,918.788,37973550,39496407
TimSort,64,random,50000,0,424.055,19453760,20380511
TimSort,128,random,50000,0,229.266,9961275,11399425
MergeSort,NA,random,50000,1,19.0588,718131,784464
TimSort,16,random,50000,1,1804.3,73769041,78331612
TimSort,32,random,50000,1,1085.93,38092264,39496319
TimSort,64,random,50000,1,507.442,19472338,20377086
TimSort,128,random,50000,1,264.318,9962611,11383941
MergeSort,NA,random,50000,2,23.2536,718350,784464
TimSort,16,random,50000,2,1636.49,73617853,78331400
TimSort,32,random,50000,2,848.789,38066851,39496192
TimSort,64,random,50000,2,493.599,19456870,20380449
TimSort,128,random,50000,2,218.141,9966238,11390056
MergeSort,NA,random,50000,3,22.0144,718119,784464
TimSort,16,random,50000,3,1530.05,73686671,78330581
TimSort,32,random,50000,3,852.807,38058594,39495952
TimSort,64,random,50000,3,430.236,19478362,20376670
TimSort,128,random,50000,3,252.897,9968922,11392107
MergeSort,NA,random,50000,4,18.8204,718070,784464
TimSort,16,random,50000,4,1599.83,73623347,78332286
TimSort,32,random,50000,4,827.778,38045369,39498784
TimSort,64,random,50000,4,397.053,19474039,20383322
TimSort,128,random,50000,4,231.856,9964022,11406827
MergeSort,NA,random,100000,0,40.2596,1536213,1668928
TimSort,16,random,100000,0,6236.86,294002059,312912006
TimSort,32,random,100000,0,3022.26,151690998,157067443
TimSort,64,random,100000,0,1675.72,77369162,79799818
TimSort,128,random,100000,0,895.933,39348258,42371607
MergeSort,NA,random,100000,1,40.8434,1536300,1668928
TimSort,16,random,100000,1,6593.35,294696447,312912661
TimSort,32,random,100000,1,3271.99,151975916,157067628
TimSort,64,random,100000,1,1547.95,77413830,79796282
TimSort,128,random,100000,1,869.32,39354099,42348691
MergeSort,NA,random,100000,2,41.3959,1536415,1668928
TimSort,16,random,100000,2,6508.71,294511119,312912441
TimSort,32,random,100000,2,3153.2,151951231,157066848
TimSort,64,random,100000,2,1465.9,77364503,79793400
TimSort,128,random,100000,2,864.814,39357787,42352329
MergeSort,NA,random,100000,3,40.7278,1536236,1668928
TimSort,16,random,100000,3,6401.42,294341375,312911517
TimSort,32,random,100000,3,3210.34,151766930,157067012
